"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","CLINTON",0,0,54,0.0306296086216676
"2","CLINTON",0,1,163,0.0924560408394782
"3","CLINTON",1,0,141,0.079977311401021
"4","CLINTON",1,1,1405,0.796937039137833
"5","EDWARDS",0,0,108,0.138639281129653
"6","EDWARDS",0,1,50,0.0641848523748395
"7","EDWARDS",1,0,371,0.476251604621309
"8","EDWARDS",1,1,250,0.320924261874198
"9","OBAMA",0,0,77,0.0514705882352941
"10","OBAMA",0,1,157,0.104946524064171
"11","OBAMA",1,0,268,0.179144385026738
"12","OBAMA",1,1,994,0.664438502673797
