"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","HUCKABEE",0,0,86,0.128358208955224
"2","HUCKABEE",0,1,71,0.105970149253731
"3","HUCKABEE",1,0,147,0.219402985074627
"4","HUCKABEE",1,1,366,0.546268656716418
"5","MCCAIN",0,0,32,0.0242424242424242
"6","MCCAIN",0,1,94,0.0712121212121212
"7","MCCAIN",1,0,142,0.107575757575758
"8","MCCAIN",1,1,1052,0.796969696969697
"9","ROMNEY",0,0,55,0.10036496350365
"10","ROMNEY",0,1,73,0.133211678832117
"11","ROMNEY",1,0,65,0.118613138686131
"12","ROMNEY",1,1,355,0.647810218978102
