"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","HART",0,0,33,0.0666666666666667
"2","HART",0,1,24,0.0484848484848485
"3","HART",1,0,199,0.402020202020202
"4","HART",1,1,239,0.482828282828283
"5","JACKSON",0,0,11,0.180327868852459
"6","JACKSON",0,1,2,0.0327868852459016
"7","JACKSON",1,0,39,0.639344262295082
"8","JACKSON",1,1,9,0.147540983606557
"9","MONDALE",0,0,23,0.0580808080808081
"10","MONDALE",0,1,95,0.23989898989899
"11","MONDALE",1,0,14,0.0353535353535354
"12","MONDALE",1,1,264,0.666666666666667
