"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","DUKAKIS",0,0,3,0.0454545454545455
"2","DUKAKIS",0,1,18,0.272727272727273
"3","DUKAKIS",1,0,3,0.0454545454545455
"4","DUKAKIS",1,1,42,0.636363636363636
"5","GEPHARDT",0,0,2,0.0689655172413793
"6","GEPHARDT",0,1,4,0.137931034482759
"7","GEPHARDT",1,0,4,0.137931034482759
"8","GEPHARDT",1,1,19,0.655172413793103
"9","GORE",0,0,8,0.177777777777778
"10","GORE",0,1,5,0.111111111111111
"11","GORE",1,0,11,0.244444444444444
"12","GORE",1,1,21,0.466666666666667
"13","HART",0,0,1,0.0769230769230769
"14","HART",1,0,6,0.461538461538462
"15","HART",1,1,6,0.461538461538462
"16","JACKSON",0,0,3,0.0833333333333333
"17","JACKSON",0,1,1,0.0277777777777778
"18","JACKSON",1,0,26,0.722222222222222
"19","JACKSON",1,1,6,0.166666666666667
