"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","BUSH",0,0,5,0.0333333333333333
"2","BUSH",0,1,30,0.2
"3","BUSH",1,0,6,0.04
"4","BUSH",1,1,109,0.726666666666667
"5","DOLE",0,0,9,0.079646017699115
"6","DOLE",0,1,11,0.0973451327433628
"7","DOLE",1,0,25,0.221238938053097
"8","DOLE",1,1,68,0.601769911504425
"9","KEMP",0,0,8,0.32
"10","KEMP",0,1,1,0.04
"11","KEMP",1,0,14,0.56
"12","KEMP",1,1,2,0.08
"13","ROBERTSON",0,0,2,0.0740740740740741
"14","ROBERTSON",1,0,15,0.555555555555556
"15","ROBERTSON",1,1,10,0.37037037037037
